X,Y,DEN,icon_url
26.9597233333333,45.9657833333333,c 5,./0.png
26.9576733333333,45.9662433333333,c 4,./0.png
26.9571316666667,45.967135,c 3,./0.png
26.9551983333333,45.96736,c 2,./0.png
26.9550566666667,45.968625,c 1,./0.png
26.9538016666667,45.9684033333333,c 5,./0.png
26.9522583333333,45.9674666666667,c 4,./0.png
26.9532383333333,45.9666633333333,c 3,./0.png
26.9786433333333,45.9603033333333,c 4,./0.png
26.9760383333333,45.961215,c 3,./0.png
26.97457,45.9627916666667,c 2,./0.png
26.97898,45.96293,c 1,./0.png
26.9805616666667,45.9636283333333,borna in teren si piatra,./0.png
26.9817683333333,45.9648466666667,c 3,./0.png
26.981255,45.96518,borna,./0.png
26.98117,45.9653016666667,h enclava,./0.png
26.9810083333333,45.965575,h enclave,./0.png
26.980825,45.9659733333333,h,./0.png
26.9807566666667,45.9662416666667,h,./0.png
26.98066,45.96656,h,./0.png
26.9809283333333,45.966695,h,./0.png
26.9812266666667,45.966765,h,./0.png
26.9815166666667,45.966665,h si semn cu rosu si gallben--h colt,./0.png
26.9816583333333,45.9668416666667,h semn vechi,./0.png
26.9818866666667,45.967075,h,./0.png
26.9821433333333,45.9670933333333,h s vechi,./0.png
26.9826383333333,45.9672616666667,h,./0.png
26.9828566666667,45.967225,h s vechi,./0.png
26.9829883333333,45.9669216666667,h,./0.png
26.9831966666667,45.966735,h colt,./0.png
26.9834383333333,45.96685,h,./0.png
26.9836733333333,45.966965,h,./0.png
26.9839616666667,45.9670633333333,h,./0.png
26.9840983333333,45.96695,h,./0.png
26.98408,45.9667933333333,h,./0.png
26.9838933333333,45.966645,semn vechi,./0.png
26.983615,45.966465,h,./0.png
26.98306,45.96617,h,./0.png
26.982755,45.9660716666667,h,./0.png
26.982495,45.9659833333333,h s vechi,./0.png
26.9822866666667,45.9658633333333,h,./0.png
26.981965,45.9656816666667,h,./0.png
26.9816516666667,45.96552,h,./0.png
26.984765,45.9667383333333,c 2,./0.png
26.9875983333333,45.9683166666667,c 1,./0.png
26.97865,45.9699983333333,c 4,./0.png
26.9756133333333,45.9673283333333,c 1,./0.png
